Target Distance: 50 , Step Size: 2
640: (x,y) = (-37.0208, 7.12832)
641: (x,y) = (-38.1101, 8.80567)
642: (x,y) = (-36.2557, 8.05645)
643: (x,y) = (-38.212, 7.64063)
644: (x,y) = (-36.4628, 8.61025)
645: (x,y) = (-38.2287, 9.54919)
646: (x,y) = (-36.5513, 8.45991)
647: (x,y) = (-34.595, 8.87574)
648: (x,y) = (-33.0856, 7.56362)
649: (x,y) = (-31.5762, 6.2515)
650: (x,y) = (-31.2289, 4.28189)
651: (x,y) = (-30.7113, 6.21374)
652: (x,y) = (-29.962, 4.35937)
653: (x,y) = (-28.135, 5.17284)
654: (x,y) = (-30.1337, 5.24264)
655: (x,y) = (-28.2211, 5.82739)
656: (x,y) = (-26.236, 5.58365)
657: (x,y) = (-25.9923, 3.59855)
658: (x,y) = (-27.3044, 5.10797)
659: (x,y) = (-25.6083, 4.04813)
660: (x,y) = (-24.3227, 2.51605)
661: (x,y) = (-24.079, 4.50114)
662: (x,y) = (-22.8204, 6.05543)
663: (x,y) = (-23.338, 4.12358)
664: (x,y) = (-23.9227, 2.21097)
665: (x,y) = (-24.3386, 4.16726)
666: (x,y) = (-24.6169, 6.1478)
667: (x,y) = (-26.349, 7.1478)
668: (x,y) = (-24.7729, 5.91648)
669: (x,y) = (-25.5544, 7.75749)
670: (x,y) = (-24.4946, 9.45358)
671: (x,y) = (-22.4958, 9.38378)
672: (x,y) = (-20.5832, 9.96853)
673: (x,y) = (-19.5233, 8.27243)
674: (x,y) = (-17.6823, 9.05389)
675: (x,y) = (-19.3404, 7.93551)
676: (x,y) = (-17.461, 8.61955)
677: (x,y) = (-18.0458, 10.5322)
678: (x,y) = (-18.1156, 8.53338)
679: (x,y) = (-19.1456, 10.2477)
680: (x,y) = (-17.1824, 9.86609)
681: (x,y) = (-15.5243, 8.74771)
682: (x,y) = (-16.963, 7.35839)
683: (x,y) = (-15.0224, 7.84223)
684: (x,y) = (-16.3345, 9.35165)
685: (x,y) = (-15.8169, 11.2835)
686: (x,y) = (-14.7276, 12.9608)
687: (x,y) = (-15.9589, 11.3848)
688: (x,y) = (-16.4428, 13.3254)
689: (x,y) = (-14.9801, 14.6894)
690: (x,y) = (-16.9773, 14.5847)
691: (x,y) = (-18.7432, 15.5237)
692: (x,y) = (-17.9297, 17.3508)
693: (x,y) = (-16.2154, 18.3809)
694: (x,y) = (-14.2591, 18.7967)
695: (x,y) = (-13.9462, 16.8213)
696: (x,y) = (-15.9414, 16.9608)
697: (x,y) = (-14.3441, 18.1644)
698: (x,y) = (-12.3954, 17.7145)
699: (x,y) = (-10.3954, 17.7145)
700: (x,y) = (-11.6267, 19.2906)
701: (x,y) = (-12.6865, 20.9867)
702: (x,y) = (-14.1007, 22.4009)
703: (x,y) = (-14.2054, 24.3981)
704: (x,y) = (-15.5947, 25.8368)
705: (x,y) = (-15.2818, 27.8122)
706: (x,y) = (-13.4147, 28.5289)
707: (x,y) = (-14.6183, 26.9316)
708: (x,y) = (-16.0325, 28.3459)
709: (x,y) = (-17.1218, 30.0232)
710: (x,y) = (-19.1023, 29.7449)
711: (x,y) = (-20.8344, 30.7449)
712: (x,y) = (-22.093, 29.1906)
713: (x,y) = (-21.7114, 31.1538)
714: (x,y) = (-23.624, 31.7386)
715: (x,y) = (-22.2858, 33.2249)
716: (x,y) = (-22.7696, 35.1654)
717: (x,y) = (-24.5967, 34.352)
718: (x,y) = (-22.6043, 34.5263)
719: (x,y) = (-20.6153, 34.3172)
720: (x,y) = (-20.9969, 36.2805)
721: (x,y) = (-21.3098, 34.3051)
722: (x,y) = (-21.8274, 36.237)
723: (x,y) = (-20.1501, 35.1477)
724: (x,y) = (-20.9635, 33.3206)
725: (x,y) = (-19.0841, 32.6365)
726: (x,y) = (-19.1539, 34.6353)
727: (x,y) = (-17.388, 33.6964)
728: (x,y) = (-15.9494, 32.3071)
729: (x,y) = (-17.9481, 32.3769)
730: (x,y) = (-18.8561, 30.5949)
731: (x,y) = (-17.4174, 31.9842)
732: (x,y) = (-17.5918, 33.9766)
733: (x,y) = (-17.0741, 32.0447)
734: (x,y) = (-15.2921, 32.9527)
735: (x,y) = (-15.3968, 30.9554)
736: (x,y) = (-14.8791, 29.0236)
737: (x,y) = (-13.1132, 28.0846)
738: (x,y) = (-14.4515, 29.5709)
739: (x,y) = (-12.7372, 30.601)
740: (x,y) = (-14.7068, 30.2537)
741: (x,y) = (-13.8616, 28.4411)
742: (x,y) = (-13.722, 30.4362)
743: (x,y) = (-12.4907, 32.0122)
744: (x,y) = (-10.9147, 33.2436)
745: (x,y) = (-9.52538, 31.8049)
746: (x,y) = (-7.53633, 31.5958)
747: (x,y) = (-6.9183, 33.4979)
748: (x,y) = (-7.50304, 35.4105)
749: (x,y) = (-6.08883, 33.9963)
750: (x,y) = (-6.96557, 32.1987)
751: (x,y) = (-5.12456, 32.9802)
752: (x,y) = (-5.33362, 30.9912)
753: (x,y) = (-3.7576, 29.7598)
754: (x,y) = (-5.37563, 30.9354)
755: (x,y) = (-3.82134, 32.1941)
756: (x,y) = (-1.83625, 31.9503)
757: (x,y) = (-2.01056, 29.9579)
758: (x,y) = (-1.87105, 27.9628)
759: (x,y) = (0.0776931, 28.4127)
760: (x,y) = (2.07769, 28.4127)
761: (x,y) = (3.84359, 27.4738)
762: (x,y) = (5.01916, 25.8557)
763: (x,y) = (4.74081, 27.8363)
764: (x,y) = (6.2729, 26.5507)
765: (x,y) = (4.34105, 26.033)
766: (x,y) = (2.90237, 27.4224)
767: (x,y) = (4.90207, 27.4573)
768: (x,y) = (3.0349, 28.174)
769: (x,y) = (3.75164, 30.0412)
770: (x,y) = (5.21435, 28.6772)
771: (x,y) = (7.06872, 27.928)
772: (x,y) = (7.38158, 29.9033)
773: (x,y) = (6.63237, 31.7577)
774: (x,y) = (7.31641, 29.8783)
775: (x,y) = (5.39389, 30.4296)
776: (x,y) = (4.10831, 31.9617)
777: (x,y) = (3.55704, 30.0392)
778: (x,y) = (2.6803, 31.8367)
779: (x,y) = (0.710681, 31.4894)
780: (x,y) = (0.919738, 33.4785)
781: (x,y) = (1.76497, 35.2911)
782: (x,y) = (0.795355, 33.5419)
783: (x,y) = (2.77073, 33.229)
784: (x,y) = (4.02937, 34.7833)
785: (x,y) = (5.233, 33.186)
786: (x,y) = (7.22813, 33.3255)
787: (x,y) = (6.28919, 35.0914)
788: (x,y) = (7.92749, 33.9443)
789: (x,y) = (7.68375, 31.9592)
790: (x,y) = (5.73501, 32.4091)
791: (x,y) = (7.35305, 33.5847)
792: (x,y) = (5.86676, 32.2464)
793: (x,y) = (4.74837, 30.5883)
794: (x,y) = (3.48973, 32.1426)
795: (x,y) = (1.54914, 31.6588)
796: (x,y) = (1.40963, 29.6636)
797: (x,y) = (2.37925, 27.9144)
798: (x,y) = (1.96342, 29.8707)
799: (x,y) = (0.874144, 28.1934)
800: (x,y) = (1.0832, 30.1824)
801: (x,y) = (1.99118, 31.9644)
802: (x,y) = (3.97627, 32.2081)
803: (x,y) = (4.35789, 30.2449)
804: (x,y) = (2.60865, 31.2145)
805: (x,y) = (2.85239, 29.2294)
806: (x,y) = (3.69763, 31.042)
807: (x,y) = (2.57924, 32.7001)
808: (x,y) = (4.36126, 33.6081)
809: (x,y) = (2.53416, 34.4216)
810: (x,y) = (3.81974, 35.9537)
811: (x,y) = (5.80878, 35.7446)
812: (x,y) = (5.77388, 37.7443)
813: (x,y) = (7.57147, 36.8675)
814: (x,y) = (5.62273, 36.4176)
815: (x,y) = (7.01204, 34.979)
816: (x,y) = (7.2211, 32.9899)
817: (x,y) = (6.19102, 31.2756)
818: (x,y) = (5.63975, 29.3531)
819: (x,y) = (3.78538, 30.1023)
820: (x,y) = (1.82909, 30.5181)
821: (x,y) = (0.0314981, 29.6414)
822: (x,y) = (0.0314981, 31.6414)
823: (x,y) = (0.90824, 33.4389)
824: (x,y) = (0.0314981, 35.2365)
825: (x,y) = (1.20707, 33.6185)
826: (x,y) = (-0.574944, 32.7105)
827: (x,y) = (-2.27104, 31.6507)
828: (x,y) = (-4.16208, 30.9995)
829: (x,y) = (-4.30159, 32.9947)
830: (x,y) = (-3.85169, 31.0459)
831: (x,y) = (-5.6337, 31.9539)
832: (x,y) = (-5.42464, 29.9649)
833: (x,y) = (-4.5479, 28.1673)
834: (x,y) = (-6.12392, 26.936)
835: (x,y) = (-4.8926, 25.3599)
836: (x,y) = (-5.13634, 27.345)
837: (x,y) = (-7.1336, 27.2404)
838: (x,y) = (-6.32013, 29.0674)
839: (x,y) = (-4.35051, 28.7202)
840: (x,y) = (-5.55414, 27.1229)
841: (x,y) = (-6.91814, 25.6602)
842: (x,y) = (-8.90323, 25.4164)
843: (x,y) = (-6.94693, 25.8323)
844: (x,y) = (-7.97701, 24.1179)
845: (x,y) = (-7.06903, 22.3359)
846: (x,y) = (-6.79068, 20.3554)
847: (x,y) = (-4.79068, 20.3554)
848: (x,y) = (-6.6033, 19.5101)
849: (x,y) = (-5.69532, 21.2922)
850: (x,y) = (-7.52241, 20.4787)
851: (x,y) = (-5.55279, 20.1314)
852: (x,y) = (-3.60405, 19.6815)
853: (x,y) = (-2.63443, 21.4307)
854: (x,y) = (-0.637174, 21.5354)
855: (x,y) = (-2.43476, 22.4121)
856: (x,y) = (-3.74688, 23.9216)
857: (x,y) = (-5.67873, 24.4392)
858: (x,y) = (-6.32987, 26.3302)
859: (x,y) = (-6.81371, 24.3896)
860: (x,y) = (-6.91838, 26.3869)
861: (x,y) = (-7.26568, 24.4173)
862: (x,y) = (-5.55135, 23.3872)
863: (x,y) = (-3.91304, 24.5344)
864: (x,y) = (-4.62978, 26.4015)
865: (x,y) = (-2.64469, 26.1578)
866: (x,y) = (-0.67507, 25.8105)
867: (x,y) = (1.05698, 24.8105)
868: (x,y) = (2.61127, 26.0691)
869: (x,y) = (3.8149, 27.6664)
870: (x,y) = (2.96967, 25.8538)
871: (x,y) = (0.972407, 25.9585)
872: (x,y) = (1.45625, 27.899)
873: (x,y) = (0.579509, 26.1015)
874: (x,y) = (2.5792, 26.0665)
875: (x,y) = (2.50941, 24.0678)
876: (x,y) = (4.48478, 24.3806)
877: (x,y) = (6.48204, 24.4853)
878: (x,y) = (7.57132, 22.808)
879: (x,y) = (7.95294, 20.8447)
880: (x,y) = (8.43678, 22.7853)
881: (x,y) = (9.49662, 24.4814)
882: (x,y) = (10.3419, 26.294)
883: (x,y) = (12.3406, 26.2242)
884: (x,y) = (13.8269, 24.886)
885: (x,y) = (15.2896, 23.522)
886: (x,y) = (13.349, 23.0381)
887: (x,y) = (14.6873, 24.5244)
888: (x,y) = (14.0362, 22.6334)
889: (x,y) = (13.385, 24.5244)
890: (x,y) = (14.5606, 22.9064)
891: (x,y) = (14.5606, 20.9064)
892: (x,y) = (16.5093, 21.3563)
893: (x,y) = (14.5288, 21.0779)
894: (x,y) = (12.9108, 19.9024)
895: (x,y) = (11.4014, 18.5902)
896: (x,y) = (13.2807, 17.9062)
897: (x,y) = (13.3156, 19.9059)
898: (x,y) = (14.9337, 18.7303)
899: (x,y) = (13.3794, 19.989)
900: (x,y) = (11.5122, 19.2722)
901: (x,y) = (10.2809, 17.6962)
902: (x,y) = (8.29581, 17.4525)
903: (x,y) = (8.22601, 19.4513)
904: (x,y) = (6.385, 18.6698)
905: (x,y) = (6.93628, 16.7473)
906: (x,y) = (5.6507, 15.2152)
907: (x,y) = (6.06652, 13.2589)
908: (x,y) = (7.55281, 14.5971)
909: (x,y) = (8.99149, 13.2078)
910: (x,y) = (9.99149, 14.9399)
911: (x,y) = (8.31415, 13.8506)
912: (x,y) = (10.1268, 14.6958)
913: (x,y) = (11.216, 16.3732)
914: (x,y) = (9.27545, 15.8893)
915: (x,y) = (9.95949, 17.7687)
916: (x,y) = (11.5138, 16.5101)
917: (x,y) = (10.6058, 18.2921)
918: (x,y) = (9.37448, 16.7161)
919: (x,y) = (7.82019, 15.4574)
920: (x,y) = (9.77649, 15.8733)
921: (x,y) = (11.7397, 16.2549)
922: (x,y) = (13.7385, 16.1851)
923: (x,y) = (14.4226, 18.0645)
924: (x,y) = (14.2482, 20.0568)
925: (x,y) = (14.3529, 22.0541)
926: (x,y) = (14.3529, 20.0541)
927: (x,y) = (16.255, 19.4361)
928: (x,y) = (14.7229, 20.7216)
929: (x,y) = (15.8122, 22.399)
930: (x,y) = (14.6651, 20.7607)
931: (x,y) = (15.1489, 22.7013)
932: (x,y) = (13.3997, 23.6709)
933: (x,y) = (12.1684, 25.2469)
934: (x,y) = (10.3557, 26.0921)
935: (x,y) = (8.94152, 24.6779)
936: (x,y) = (8.22479, 26.5451)
937: (x,y) = (9.88286, 27.6635)
938: (x,y) = (11.5972, 26.6334)
939: (x,y) = (9.86515, 27.6334)
940: (x,y) = (11.6778, 26.7882)
941: (x,y) = (11.6778, 28.7882)
942: (x,y) = (12.6167, 30.5541)
943: (x,y) = (14.573, 30.9699)
944: (x,y) = (14.4335, 32.965)
945: (x,y) = (13.0952, 31.4787)
946: (x,y) = (14.1845, 33.1561)
947: (x,y) = (15.4701, 31.624)
948: (x,y) = (17.236, 30.685)
949: (x,y) = (15.2372, 30.6152)
950: (x,y) = (16.6759, 32.0046)
951: (x,y) = (15.8306, 33.8172)
952: (x,y) = (16.3819, 31.8946)
953: (x,y) = (17.033, 33.7857)
954: (x,y) = (18.9649, 33.268)
955: (x,y) = (20.8874, 33.8193)
956: (x,y) = (18.9023, 33.5756)
957: (x,y) = (20.1337, 31.9996)
958: (x,y) = (20.029, 33.9968)
959: (x,y) = (20.4448, 35.9531)
960: (x,y) = (21.9991, 37.2118)
961: (x,y) = (23.9216, 37.763)
962: (x,y) = (25.801, 37.079)
963: (x,y) = (27.8007, 37.0441)
964: (x,y) = (27.5916, 35.055)
965: (x,y) = (29.3575, 34.1161)
966: (x,y) = (30.0743, 35.9833)
967: (x,y) = (31.4383, 37.446)
968: (x,y) = (30.4383, 35.7139)
969: (x,y) = (28.441, 35.6092)
970: (x,y) = (29.0258, 33.6966)
971: (x,y) = (27.0285, 33.8013)
972: (x,y) = (25.8813, 32.163)
973: (x,y) = (25.9511, 34.1618)
974: (x,y) = (26.7004, 36.0162)
975: (x,y) = (26.4566, 34.0311)
976: (x,y) = (25.0673, 32.5924)
977: (x,y) = (25.7513, 30.713)
978: (x,y) = (27.7486, 30.6083)
979: (x,y) = (28.8084, 28.9122)
980: (x,y) = (30.1978, 30.3509)
981: (x,y) = (30.5106, 28.3755)
982: (x,y) = (29.7292, 26.5345)
983: (x,y) = (30.3803, 24.6435)
984: (x,y) = (31.9124, 25.9291)
985: (x,y) = (33.6085, 26.9889)
986: (x,y) = (31.7814, 27.8024)
987: (x,y) = (33.7765, 27.6629)
988: (x,y) = (32.3623, 26.2486)
989: (x,y) = (31.2439, 24.5906)
990: (x,y) = (33.2002, 24.1747)
991: (x,y) = (31.5041, 23.1149)
992: (x,y) = (30.5961, 24.8969)
993: (x,y) = (32.3105, 25.927)
994: (x,y) = (34.2801, 25.5797)
995: (x,y) = (35.7664, 24.2414)
996: (x,y) = (35.488, 22.2609)
997: (x,y) = (34.3696, 23.919)
998: (x,y) = (32.4291, 23.4351)
999: (x,y) = (31.4901, 25.201)
1000: (x,y) = (30.6766, 23.3739)
1001: (x,y) = (30.9895, 21.3986)
1002: (x,y) = (30.5396, 19.4498)
1003: (x,y) = (28.7576, 20.3578)
1004: (x,y) = (28.4447, 18.3824)
1005: (x,y) = (27.8267, 20.2845)
1006: (x,y) = (26.1884, 19.1374)
1007: (x,y) = (24.4923, 20.1972)
1008: (x,y) = (24.145, 18.2276)
1009: (x,y) = (24.6288, 16.287)
1010: (x,y) = (22.7617, 17.0038)
1011: (x,y) = (21.2754, 15.6655)
1012: (x,y) = (22.3938, 14.0074)
1013: (x,y) = (23.0449, 12.1164)
1014: (x,y) = (24.9768, 12.634)
1015: (x,y) = (24.3256, 10.743)
1016: (x,y) = (25.0424, 8.87582)
1017: (x,y) = (26.955, 8.29107)
1018: (x,y) = (25.4687, 6.95281)
1019: (x,y) = (25.7124, 8.93791)
1020: (x,y) = (24.2737, 7.54859)
1021: (x,y) = (24.1342, 9.54372)
1022: (x,y) = (23.5162, 7.6416)
1023: (x,y) = (22.4564, 9.3377)
1024: (x,y) = (24.1144, 8.21931)
1025: (x,y) = (23.2064, 10.0013)
1026: (x,y) = (21.7437, 11.3653)
1027: (x,y) = (20.3295, 9.95111)
1028: (x,y) = (21.6416, 8.44169)
1029: (x,y) = (23.6113, 8.78899)
1030: (x,y) = (24.7296, 10.4471)
1031: (x,y) = (26.3877, 9.32868)
1032: (x,y) = (28.3003, 9.91342)
1033: (x,y) = (26.3371, 9.5318)
1034: (x,y) = (24.8277, 8.21968)
1035: (x,y) = (24.6533, 10.2121)
1036: (x,y) = (24.8624, 8.22303)
1037: (x,y) = (24.4125, 10.1718)
1038: (x,y) = (23.5673, 8.35915)
1039: (x,y) = (25.2056, 7.212)
1040: (x,y) = (25.7232, 5.28015)
1041: (x,y) = (23.856, 4.56341)
1042: (x,y) = (22.015, 5.34488)
1043: (x,y) = (21.8755, 7.34)
1044: (x,y) = (20.7, 5.72197)
1045: (x,y) = (18.9856, 4.69189)
1046: (x,y) = (20.4719, 3.35363)
1047: (x,y) = (20.0903, 1.39038)
1048: (x,y) = (18.0979, 1.56469)
1049: (x,y) = (18.5817, -0.375901)
1050: (x,y) = (20.136, 0.88274)
1051: (x,y) = (18.772, -0.579968)
1052: (x,y) = (18.8767, -2.57723)
1053: (x,y) = (18.2256, -4.46826)
1054: (x,y) = (18.1558, -2.46948)
1055: (x,y) = (19.4679, -3.9789)
1056: (x,y) = (17.4706, -3.87423)
1057: (x,y) = (16.1066, -5.33694)
1058: (x,y) = (14.9595, -3.69863)
1059: (x,y) = (13.5453, -5.11285)
1060: (x,y) = (14.7766, -6.68887)
1061: (x,y) = (13.2223, -7.94751)
1062: (x,y) = (12.5383, -9.82689)
1063: (x,y) = (11.2796, -11.3812)
1064: (x,y) = (12.1564, -9.5836)
1065: (x,y) = (12.1913, -7.5839)
1066: (x,y) = (12.9727, -9.42491)
1067: (x,y) = (11.6345, -10.9112)
1068: (x,y) = (10.9177, -12.7784)
1069: (x,y) = (10.1685, -10.924)
1070: (x,y) = (9.95946, -12.913)
1071: (x,y) = (11.2977, -11.4267)
1072: (x,y) = (12.0792, -13.2678)
1073: (x,y) = (13.6552, -14.4991)
1074: (x,y) = (12.5954, -12.803)
1075: (x,y) = (11.0193, -11.5717)
1076: (x,y) = (9.90096, -9.91359)
1077: (x,y) = (8.00992, -10.5647)
1078: (x,y) = (9.00992, -12.2968)
1079: (x,y) = (8.22846, -14.1378)
1080: (x,y) = (6.40137, -13.3243)
1081: (x,y) = (4.40168, -13.3592)
1082: (x,y) = (6.3242, -12.8079)
1083: (x,y) = (4.66612, -13.9263)
1084: (x,y) = (2.68559, -14.2047)
1085: (x,y) = (2.68559, -12.2047)
1086: (x,y) = (0.989492, -11.1448)
1087: (x,y) = (-0.5648, -12.4035)
1088: (x,y) = (-2.52109, -11.9877)
1089: (x,y) = (-2.971, -13.9364)
1090: (x,y) = (-4.88361, -13.3516)
1091: (x,y) = (-4.39976, -15.2922)
1092: (x,y) = (-6.22685, -16.1057)
1093: (x,y) = (-5.16702, -14.4096)
1094: (x,y) = (-4.92328, -16.3947)
1095: (x,y) = (-6.38598, -15.0307)
1096: (x,y) = (-6.21167, -13.0383)
1097: (x,y) = (-5.49494, -11.1712)
1098: (x,y) = (-4.91019, -9.25855)
1099: (x,y) = (-4.91019, -11.2586)
1100: (x,y) = (-6.83272, -11.8098)
1101: (x,y) = (-5.3233, -13.1219)
1102: (x,y) = (-3.34276, -13.4003)
1103: (x,y) = (-1.78847, -12.1417)
1104: (x,y) = (-3.76901, -12.42)
1105: (x,y) = (-5.50106, -11.42)
1106: (x,y) = (-3.55232, -11.8699)
1107: (x,y) = (-4.00222, -9.92116)
1108: (x,y) = (-2.10011, -10.5392)
1109: (x,y) = (-3.38568, -9.0071)
1110: (x,y) = (-5.38294, -9.11178)
1111: (x,y) = (-7.33168, -9.56168)
1112: (x,y) = (-8.50725, -11.1797)
1113: (x,y) = (-7.72579, -13.0207)
1114: (x,y) = (-5.72579, -13.0207)
1115: (x,y) = (-4.66595, -11.3246)
1116: (x,y) = (-6.26322, -12.5283)
1117: (x,y) = (-7.60148, -14.0145)
1118: (x,y) = (-6.37016, -15.5906)
1119: (x,y) = (-5.46218, -13.8086)
1120: (x,y) = (-4.5542, -15.5906)
1121: (x,y) = (-3.37863, -13.9725)
1122: (x,y) = (-3.51814, -15.9677)
1123: (x,y) = (-4.66529, -17.606)
1124: (x,y) = (-3.57601, -15.9286)
1125: (x,y) = (-1.82677, -14.959)
1126: (x,y) = (0.165615, -15.1333)
1127: (x,y) = (1.60429, -13.744)
1128: (x,y) = (3.18032, -12.5127)
1129: (x,y) = (1.23972, -12.9965)
1130: (x,y) = (3.08073, -12.2151)
1131: (x,y) = (1.13199, -11.7652)
1132: (x,y) = (-0.377425, -13.0773)
1133: (x,y) = (1.10886, -14.4155)
1134: (x,y) = (-0.255132, -15.8782)
1135: (x,y) = (1.66739, -16.4295)
1136: (x,y) = (0.885929, -14.5885)
1137: (x,y) = (-0.173909, -16.2846)
1138: (x,y) = (-1.56323, -17.7233)
1139: (x,y) = (-1.52832, -19.723)
1140: (x,y) = (-2.5584, -21.4373)
1141: (x,y) = (-0.982376, -20.206)
1142: (x,y) = (-2.97964, -20.1013)
1143: (x,y) = (-2.87496, -18.1041)
1144: (x,y) = (-1.5367, -19.5903)
1145: (x,y) = (-1.5367, -17.5903)
1146: (x,y) = (0.44839, -17.3466)
1147: (x,y) = (2.16272, -18.3767)
1148: (x,y) = (3.69481, -19.6623)
1149: (x,y) = (4.84197, -21.3006)
1150: (x,y) = (3.93399, -19.5186)
1151: (x,y) = (4.77922, -17.7059)
1152: (x,y) = (3.22493, -16.4473)
1153: (x,y) = (2.37969, -14.6347)
1154: (x,y) = (2.79552, -16.591)
1155: (x,y) = (1.19825, -15.3873)
1156: (x,y) = (3.1301, -15.905)
1157: (x,y) = (5.00948, -15.2209)
1158: (x,y) = (6.75872, -16.1906)
1159: (x,y) = (8.29081, -17.4761)
1160: (x,y) = (7.20153, -15.7988)
1161: (x,y) = (6.95779, -13.8137)
1162: (x,y) = (7.80303, -12.0011)
1163: (x,y) = (8.9786, -10.3831)
1164: (x,y) = (7.00322, -10.0702)
1165: (x,y) = (5.02785, -9.75732)
1166: (x,y) = (6.44206, -11.1715)
1167: (x,y) = (7.90477, -12.5355)
1168: (x,y) = (6.75762, -10.8972)
1169: (x,y) = (8.33364, -12.1285)
1170: (x,y) = (9.90966, -10.8972)
1171: (x,y) = (9.73535, -8.90483)
1172: (x,y) = (11.7159, -9.18318)
1173: (x,y) = (12.746, -7.46885)
1174: (x,y) = (11.9645, -5.62784)
1175: (x,y) = (13.7137, -6.59746)
1176: (x,y) = (11.7186, -6.73697)
1177: (x,y) = (11.337, -4.77371)
1178: (x,y) = (9.8507, -6.11198)
1179: (x,y) = (11.5088, -4.99359)
1180: (x,y) = (9.62939, -5.67763)
1181: (x,y) = (9.42033, -3.68859)
1182: (x,y) = (7.43129, -3.47953)
1183: (x,y) = (5.945, -2.14127)
1184: (x,y) = (4.82662, -3.79934)
1185: (x,y) = (2.87788, -3.34944)
1186: (x,y) = (1.05078, -4.16291)
1187: (x,y) = (0.772438, -6.14345)
1188: (x,y) = (-1.22726, -6.17836)
1189: (x,y) = (-0.350515, -4.38077)
1190: (x,y) = (1.24676, -3.17714)
1191: (x,y) = (2.27683, -4.89147)
1192: (x,y) = (2.13732, -2.89634)
1193: (x,y) = (2.41567, -0.915808)
1194: (x,y) = (2.96694, -2.83833)
1195: (x,y) = (3.90588, -4.60423)
1196: (x,y) = (4.78263, -6.40181)
1197: (x,y) = (5.46667, -4.52243)
1198: (x,y) = (6.97608, -5.83455)
1199: (x,y) = (8.17972, -4.23728)
1200: (x,y) = (6.21646, -3.85566)
1201: (x,y) = (5.435, -2.01465)
1202: (x,y) = (3.97229, -3.37865)
1203: (x,y) = (4.59032, -5.28076)
1204: (x,y) = (2.59794, -5.45507)
1205: (x,y) = (2.11409, -3.51448)
1206: (x,y) = (0.157797, -3.9303)
1207: (x,y) = (0.366854, -5.91935)
1208: (x,y) = (0.71415, -7.88896)
1209: (x,y) = (1.91778, -6.29169)
1210: (x,y) = (2.40162, -8.23228)
1211: (x,y) = (0.421088, -7.95394)
1212: (x,y) = (1.99711, -9.18526)
1213: (x,y) = (0.142741, -9.93447)
1214: (x,y) = (1.96983, -10.7479)
1215: (x,y) = (0.580516, -12.1866)
1216: (x,y) = (1.83916, -13.7409)
1217: (x,y) = (1.45754, -15.7042)
1218: (x,y) = (-0.324475, -16.6122)
1219: (x,y) = (1.61612, -17.096)
1220: (x,y) = (-0.0612244, -18.1853)
1221: (x,y) = (1.49307, -19.4439)
1222: (x,y) = (3.39518, -18.8259)
1223: (x,y) = (3.60424, -16.8368)
1224: (x,y) = (5.26231, -17.9552)
1225: (x,y) = (7.02821, -17.0163)
1226: (x,y) = (5.99813, -18.7306)
1227: (x,y) = (7.74737, -17.761)
1228: (x,y) = (6.35805, -19.1997)
1229: (x,y) = (8.05415, -20.2595)
1230: (x,y) = (8.12395, -22.2583)
1231: (x,y) = (9.00069, -20.4607)
1232: (x,y) = (8.72235, -18.4802)
1233: (x,y) = (10.4716, -19.4498)
1234: (x,y) = (12.1297, -20.5682)
1235: (x,y) = (14.1102, -20.2898)
1236: (x,y) = (14.6615, -18.3673)
1237: (x,y) = (12.7594, -18.9853)
1238: (x,y) = (11.2499, -20.2975)
1239: (x,y) = (13.0475, -19.4207)
1240: (x,y) = (11.0988, -19.8706)
1241: (x,y) = (12.848, -20.8402)
1242: (x,y) = (14.689, -21.6217)
1243: (x,y) = (12.7258, -21.2401)
1244: (x,y) = (10.727, -21.3099)
1245: (x,y) = (11.5405, -23.137)
1246: (x,y) = (10.759, -21.296)
1247: (x,y) = (11.9346, -22.914)
1248: (x,y) = (13.5106, -24.1453)
1249: (x,y) = (15.5094, -24.2151)
1250: (x,y) = (15.4047, -26.2124)
1251: (x,y) = (17.3801, -25.8995)
1252: (x,y) = (17.693, -23.9241)
1253: (x,y) = (19.351, -25.0425)
1254: (x,y) = (20.1963, -23.2299)
1255: (x,y) = (18.8842, -21.7205)
1256: (x,y) = (20.8829, -21.6507)
1257: (x,y) = (19.9133, -19.9014)
1258: (x,y) = (21.6626, -20.8711)
1259: (x,y) = (23.2386, -19.6397)
1260: (x,y) = (25.0362, -18.763)
1261: (x,y) = (26.1833, -20.4013)
1262: (x,y) = (24.506, -21.4906)
1263: (x,y) = (22.7739, -20.4906)
1264: (x,y) = (24.7372, -20.109)
1265: (x,y) = (23.1399, -21.3126)
1266: (x,y) = (24.6262, -19.9743)
1267: (x,y) = (26.1356, -18.6622)
1268: (x,y) = (27.3943, -17.1079)
1269: (x,y) = (25.6799, -16.0778)
1270: (x,y) = (27.6799, -16.0778)
1271: (x,y) = (28.1298, -14.1291)
1272: (x,y) = (26.4717, -13.0107)
1273: (x,y) = (24.6742, -13.8875)
1274: (x,y) = (26.6148, -13.4036)
1275: (x,y) = (28.5373, -12.8523)
1276: (x,y) = (29.5373, -11.1203)
1277: (x,y) = (27.8229, -10.0902)
1278: (x,y) = (28.853, -8.37588)
1279: (x,y) = (30.3851, -7.0903)
1280: (x,y) = (28.4941, -6.43917)
1281: (x,y) = (30.4067, -5.85443)
1282: (x,y) = (28.4094, -5.74975)
1283: (x,y) = (26.5684, -4.96829)
1284: (x,y) = (24.9711, -6.17192)
1285: (x,y) = (23.7398, -4.5959)
